Scenario,Dataset_Trial_ID,Algorithm,Passengers_Assigned,Total_Passengers,Distance_KM,Seat_Occupancy_Pct,Runtime_MS
Low_Demand,1,Greedy,30,45,66,94.29,0.1
Low_Demand,1,GeneticAlg,38,45,66,94.29,774.02
Low_Demand,2,Greedy,35,45,78,91.76,0.08
Low_Demand,2,GeneticAlg,39,45,78,91.76,753.9
Low_Demand,3,Greedy,31,45,62,88.57,0.06
Low_Demand,3,GeneticAlg,36,45,62,88.57,751.46
Low_Demand,4,Greedy,30,45,69,92.0,0.06
Low_Demand,4,GeneticAlg,37,45,68,90.67,779.19
Low_Demand,5,Greedy,27,45,69,92.0,0.06
Low_Demand,5,GeneticAlg,35,45,70.9,94.53,757.69
Medium_Urban,1,Greedy,111,130,372,87.94,0.43
Medium_Urban,1,GeneticAlg,117,130,368.6,87.14,4277.92
Medium_Urban,2,Greedy,90,130,318,86.18,0.4
Medium_Urban,2,GeneticAlg,109,130,320.9,86.96,3997.66
Medium_Urban,3,Greedy,83,130,304,86.61,0.4
Medium_Urban,3,GeneticAlg,100,130,298.8,85.13,4226.09
Medium_Urban,4,Greedy,94,130,328,82.83,0.41
Medium_Urban,4,GeneticAlg,106,130,328.8,83.03,4195.83
Medium_Urban,5,Greedy,111,130,355,82.18,0.42
Medium_Urban,5,GeneticAlg,119,130,353.2,81.76,4317.63
High_Congestion,1,Greedy,197,250,891,82.65,1.35
High_Congestion,1,GeneticAlg,223,250,872,80.89,11599.61
High_Congestion,2,Greedy,212,250,897,84.3,1.32
High_Congestion,2,GeneticAlg,227,250,885.6,83.23,12181.04
High_Congestion,3,Greedy,177,250,788,82.77,1.36
High_Congestion,3,GeneticAlg,216,250,775.9,81.5,11494.77
High_Congestion,4,Greedy,188,250,854,82.43,1.32
High_Congestion,4,GeneticAlg,225,250,823.6,79.5,11383.72
High_Congestion,5,Greedy,192,250,900,83.49,1.37
High_Congestion,5,GeneticAlg,218,250,879,81.54,12014.67
Extreme_Peak,1,Greedy,318,450,1922,84.3,3.88
Extreme_Peak,1,GeneticAlg,398.5,450,1822,79.91,30756.83
Extreme_Peak,2,Greedy,301,450,1952,85.61,3.9
Extreme_Peak,2,GeneticAlg,391,450,1843.9,80.87,33469.76
Extreme_Peak,3,Greedy,255,450,1810,85.06,3.72
Extreme_Peak,3,GeneticAlg,379.5,450,1677.8,78.84,34029.52
Extreme_Peak,4,Greedy,268,450,1915,83.3,3.86
Extreme_Peak,4,GeneticAlg,374.9,450,1830.1,79.6,34300.95
Extreme_Peak,5,Greedy,292,450,1943,82.47,3.93
Extreme_Peak,5,GeneticAlg,385.9,450,1832.7,77.79,34055.06
